\specialcell[r]{\\ \\Loads},\specialcell[r]{Super-States,\\$\mathbf{P}_0 (K)$,\\Init Step},\specialcell[r]{\\$\mathbf{A} (K{\times}K)$,\\Recurs Step},$\mathbf{B} (K{\times}N)$,\specialcell[r]{Basic\\Disagg\\Time (s)},$\mathbf{P}_0\:(!0)$,$\mathbf{A}\:(!0)$,$\mathbf{B}\:(!0)$,\specialcell[r]{\\Sparse\\Init Step},\specialcell[r]{\\Sparse\\Recurs Step},\specialcell[r]{Sparse\\Disagg\\Time (s)}
1,4,16,8k,,4,16,2k,,,
2,16,256,32k,,13,92,2.5k,4,17,0.04
3,48,2.3k,96k,,36,276,4.2k,9,53,0.08
4,192,36.9k,384.2k,,90,643,6.5k,15,99,0.15
5,768,589.8k,1.5M,,258,2k,12.4k,32,310,0.42
6,{3,072},9.4M,6.1M,,386,2.6k,16.3k,39,359,0.52
7,{9,216},84.9M,18.4M,,411,2.7k,22.7k,39,362,0.57
8,{36,864},1.4G,73.8M,,674,3.9k,53.4k,52,446,0.78
9,{147,456},21.7G,295.1M,,1.2k,6.7k,169.8k,78,736,1.35
10,{589,824},347.9G,1.2G,,2k,9.7k,618.9k,116,942,2.40
11,{2,359,296},5.6T,4.7G,,2.1k,10.2k,2.4M,120,945,4.83
12,{7,077,888},50.1T,14.2G,,2.7k,12.1k,7.1M,137,{1,023},10.09
13,{28,311,552},801.5T,56.7G,,4.7k,20.3k,28.4M,218,{1,661},39.10
14,{56,623,104},3.2P,113.3G,,5.5k,22.8k,56.7M,,,
15,{169,869,312},28.9P,339.9G,,6.2k,24.4k,169.9M,,,
16,{339,738,624},115.4P,679.8G,,6.2k,24.4k,339.8M,,,
17,{679,477,248},461.7P,1.4T,,8.9k,34.7k,679.5M,,,
18,{2,038,431,744},4.2E,4.1T,,,,,,,
19,{8,153,726,976},66.5E,16.3T,,,,,,,
